gene_id,cell_type,log2FC,pval,padj,score
CDC40,Vascular_cell,1.1290226,0.49896229860376107,0.9849978674961947,0.6761234
FNTA,Vascular_cell,0.835472,0.49896229860376107,0.9849978674961947,0.6761234
CST3,Vascular_cell,1.081916,0.49896229860376107,0.9849978674961947,0.6761234
YTHDF1,Vascular_cell,0.6903248,0.49896229860376107,0.9849978674961947,0.6761234
CEBPZ,Vascular_cell,1.1403587,0.49896229860376107,0.9849978674961947,0.6761234
TXNRD3,Vascular_cell,0.6656184,0.49896229860376107,0.9849978674961947,0.6761234
PTN,Vascular_cell,0.8660159,0.49896229860376107,0.9849978674961947,0.6761234
STAT1,Vascular_cell,1.143991,0.49896229860376107,0.9849978674961947,0.6761234
RWDD4,Vascular_cell,2.3001258,0.49896229860376107,0.9849978674961947,0.6761234
DAZAP2,Vascular_cell,0.37933087,0.49896229860376107,0.9849978674961947,0.6761234
ANPEP,Vascular_cell,1.6980199,0.49896229860376107,0.9849978674961947,0.6761234
KIF13B,Vascular_cell,0.32840452,0.49896229860376107,0.9849978674961947,0.6761234
GGT5,Vascular_cell,0.367017,0.49896229860376107,0.9849978674961947,0.6761234
RPS6KB1,Vascular_cell,0.4954902,0.49896229860376107,0.9849978674961947,0.6761234
MTFR1L,Vascular_cell,0.9219908,0.49896229860376107,0.9849978674961947,0.6761234
DCLRE1B,Vascular_cell,1.748965,0.49896229860376107,0.9849978674961947,0.6761234
PSD3,Vascular_cell,0.7279385,0.49896229860376107,0.9849978674961947,0.6761234
TFIP11,Vascular_cell,1.4288071,0.49896229860376107,0.9849978674961947,0.6761234
ZKSCAN7,Vascular_cell,2.2731225,0.49896229860376107,0.9849978674961947,0.6761234
VWF,Vascular_cell,0.48363352,0.49896229860376107,0.9849978674961947,0.6761234
GPR89B,Vascular_cell,1.5852768,0.49896229860376107,0.9849978674961947,0.6761234
SRRM4,Vascular_cell,1.4906399,0.49896229860376107,0.9849978674961947,0.6761234
FXN,Vascular_cell,1.3666997,0.49896229860376107,0.9849978674961947,0.6761234
UBAP1,Vascular_cell,1.1301326,0.49896229860376107,0.9849978674961947,0.6761234
PPAT,Vascular_cell,2.1419904,0.49896229860376107,0.9849978674961947,0.6761234
APOL2,Vascular_cell,0.976158,0.49896229860376107,0.9849978674961947,0.6761234
UNC5C,Vascular_cell,0.87676984,0.49896229860376107,0.9849978674961947,0.6761234
UBE2E3,Vascular_cell,0.541031,0.49896229860376107,0.9849978674961947,0.6761234
TMEM132C,Vascular_cell,0.8185315,0.49896229860376107,0.9849978674961947,0.6761234
ALG12,Vascular_cell,2.3713465,0.49896229860376107,0.9849978674961947,0.6761234
PDS5A,Vascular_cell,0.7099662,0.49896229860376107,0.9849978674961947,0.6761234
SHMT1,Vascular_cell,1.0762789,0.49896229860376107,0.9849978674961947,0.6761234
DEPTOR-AS1,Vascular_cell,1.3497238,0.49896229860376107,0.9849978674961947,0.6761234
SLC47A1,Vascular_cell,1.1606746,0.49896229860376107,0.9849978674961947,0.6761234
FOXK1,Vascular_cell,1.947897,0.49896229860376107,0.9849978674961947,0.6761234
SYTL2,Vascular_cell,0.95076466,0.49896229860376107,0.9849978674961947,0.6761234
HEATR6,Vascular_cell,1.4305084,0.49896229860376107,0.9849978674961947,0.6761234
